Date2,Date3,Date1,Date,Close/Last,Volume,Open,High,Low
01-02-2018,02-01-2018,01-02-2018,2018/01/02,60.37,493673,60.2,60.74,60.1
01-03-2018,03-01-2018,01-03-2018,2018/01/03,61.63,659380,60.39,61.97,60.28
01-04-2018,04-01-2018,01-04-2018,2018/01/04,62.01,636530,61.96,62.21,61.59
01-05-2018,05-01-2018,01-05-2018,2018/01/05,61.44,546178,61.9,62.04,61.09
01-08-2018,08-01-2018,01-08-2018,2018/01/08,61.73,569682,61.61,61.97,61.34
01-09-2018,09-01-2018,01-09-2018,2018/01/09,62.96,802667,61.92,63.48,61.8
01-10-2018,10-01-2018,01-10-2018,2018/01/10,63.57,660128,63.41,63.67,63.09
01-11-2018,11-01-2018,01-11-2018,2018/01/11,63.8,831247,63.5,64.77,63.43
01-12-2018,12-01-2018,01-12-2018,2018/01/12,64.3,17427,64.43,64.45,64.18
01/16/2018,16-01-2018,01/16/2018,2018/01/16,63.73,841948,64.8,64.89,63.39
01/17/2018,17-01-2018,01/17/2018,2018/01/17,63.97,427119,63.89,64.17,63.31
01/18/2018,18-01-2018,01/18/2018,2018/01/18,63.95,185978,64.07,64.35,63.47
01/19/2018,19-01-2018,01/19/2018,2018/01/19,63.37,95546,63.74,63.77,62.85
01/22/2018,22-01-2018,01/22/2018,2018/01/22,63.49,29710,63.61,64.14,63.17
01/23/2018,23-01-2018,01/23/2018,2018/01/23,64.47,646028,63.88,64.88,63.7
01/24/2018,24-01-2018,01/24/2018,2018/01/24,65.61,868414,64.42,66.05,64.34
01/25/2018,25-01-2018,01/25/2018,2018/01/25,65.51,751913,65.88,66.66,65.08
01/26/2018,26-01-2018,01/26/2018,2018/01/26,66.14,664321,65.25,66.35,64.91
01/29/2018,29-01-2018,01/29/2018,2018/01/29,65.56,640550,66.18,66.46,64.98
01/30/2018,30-01-2018,01/30/2018,2018/01/30,64.5,669430,65.53,65.56,63.89
01/31/2018,31-01-2018,01/31/2018,2018/01/31,64.73,594354,64.03,64.94,63.67
02-01-2018,01-02-2018,02-01-2018,2018/02/01,65.8,668623,64.76,66.25,64.63
02-02-2018,02-02-2018,02-02-2018,2018/02/02,65.45,836409,65.99,66.3,64.47
02-05-2018,05-02-2018,02-05-2018,2018/02/05,64.15,872742,65.1,65.4,63.42
02-06-2018,06-02-2018,02-06-2018,2018/02/06,63.39,773274,63.43,64.29,63.12
02-07-2018,07-02-2018,02-07-2018,2018/02/07,61.79,975908,63.92,64.18,61.25
02-08-2018,08-02-2018,02-08-2018,2018/02/08,61.15,882388,61.7,62.09,60.27
02-09-2018,09-02-2018,02-09-2018,2018/02/09,59.2,878528,60.43,60.77,58.07
02-12-2018,12-02-2018,02-12-2018,2018/02/12,59.29,699404,59.12,60.83,59.1
02/13/2018,13-02-2018,02/13/2018,2018/02/13,59.19,552427,59.35,59.73,58.39
02/14/2018,14-02-2018,02/14/2018,2018/02/14,60.6,626751,58.98,60.9,58.2
02/15/2018,15-02-2018,02/15/2018,2018/02/15,61.34,316242,60.71,61.64,59.72
02/16/2018,16-02-2018,02/16/2018,2018/02/16,61.68,3363,61.63,62.52,61.63
02/20/2018,20-02-2018,02/20/2018,2018/02/20,61.9,40936,62.5,62.74,61.58
